PointX=-0.069187, PointY=-0.410642, beamIdx=96, quality=0
PointX=-0.066513, PointY=-0.410120, beamIdx=97, quality=0
PointX=-0.063810, PointY=-0.409587, beamIdx=98, quality=0
PointX=-0.061155, PointY=-0.409031, beamIdx=99, quality=0
PointX=-0.058644, PointY=-0.409399, beamIdx=100, quality=0
PointX=-0.056260, PointY=-0.410693, beamIdx=101, quality=0
PointX=-0.053739, PointY=-0.411030, beamIdx=102, quality=0
PointX=-0.051216, PointY=-0.411352, beamIdx=103, quality=0
PointX=-0.048691, PointY=-0.411659, beamIdx=104, quality=0
PointX=-0.046164, PointY=-0.411950, beamIdx=105, quality=0
PointX=-0.043457, PointY=-0.411288, beamIdx=106, quality=0
PointX=-0.040838, PointY=-0.410601, beamIdx=107, quality=0
PointX=-0.038318, PointY=-0.410844, beamIdx=108, quality=0
PointX=-0.035796, PointY=-0.411071, beamIdx=109, quality=0
PointX=-0.033273, PointY=-0.411283, beamIdx=110, quality=0
PointX=-0.030678, PointY=-0.410531, beamIdx=111, quality=0
PointX=-0.028133, PointY=-0.409761, beamIdx=112, quality=0
PointX=-0.025618, PointY=-0.409925, beamIdx=113, quality=0
PointX=-0.023103, PointY=-0.410075, beamIdx=114, quality=0
PointX=-0.020538, PointY=-0.409259, beamIdx=115, quality=0
PointX=-0.018108, PointY=-0.410326, beamIdx=116, quality=0
PointX=-0.015590, PointY=-0.410429, beamIdx=117, quality=0
PointX=-0.013071, PointY=-0.410517, beamIdx=118, quality=0
PointX=-0.010552, PointY=-0.410590, beamIdx=119, quality=0
PointX=-0.008053, PointY=-0.409695, beamIdx=120, quality=0
PointX=-0.005539, PointY=-0.409737, beamIdx=121, quality=0
PointX=-0.003018, PointY=-0.408812, beamIdx=122, quality=0
PointX=-0.000510, PointY=-0.408823, beamIdx=123, quality=0
PointX=0.001842, PointY=-0.408819, beamIdx=124, quality=0
PointX=0.004351, PointY=-0.408800, beamIdx=125, quality=0
PointX=0.006804, PointY=-0.407816, beamIdx=126, quality=0
PointX=0.009306, PointY=-0.407767, beamIdx=127, quality=0
PointX=0.011835, PointY=-0.408652, beamIdx=128, quality=0
PointX=0.014343, PointY=-0.408572, beamIdx=129, quality=0
PointX=0.016888, PointY=-0.409426, beamIdx=130, quality=0
PointX=0.019490, PointY=-0.411214, beamIdx=131, quality=0
PointX=0.021974, PointY=-0.411089, beamIdx=132, quality=0
PointX=0.024439, PointY=-0.409997, beamIdx=133, quality=0
